"Series title","1/1/2011","1/1/2012","1/1/2013","1/1/2014","1/1/2015","1/1/2016","1/1/2017","1/1/2018","1/1/2019"
"Kingston","89275","89535","89637","89641","89823","89901","90113","90368","90544"
"St Andrew","573566","574028","573618","573181","572970","572351","572146","572250","571947"
"St Thomas","94071","94238","94215","94176","94210","94141","94284","94376","94391"
"Portland","81669","81646","81487","81339","81283","81163","81098","81045","80921"
"St Mary","113850","114027","114135","114224","114377","114507","114676","114896","115090"
"St Ann","172814","173398","173846","174173","174655","175158","175854","176453","177054"
"Trelawny","75559","75905","76308","76572","77027","77409","77746","78107","78487"
"St James","184619","185779","186655","187396","188237","189041","189885","190915","191737"
"Hanover","69929","70336","70657","70922","71154","71443","71815","72220","72519"
"Westmoreland","144874","145653","146229","146913","147609","148205","148827","149396","149857"
"St Elizabeth","150597","151113","151168","151276","151304","151376","151692","151938","151911"
"Manchester","190308","190774","190918","191085","191229","191235","191386","191646","191720"
"Clarendon","245488","246134","246204","246333","246766","246776","246912","247171","247112"
"St Catherine","516284","517439","518305","518427","518828","518958","519450","520201","520804"
"Total","2702903","2710004","2713381","2715657","2719471","2721665","2725883","2730983","2734093"
